"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"64","04216559","世群貿易股份有限公司","臺北市中正區忠孝東路2段23號3樓","周登正","5000000","1101222"
"65","04226091","台燿科技股份有限公司","新竹縣竹北市泰和里博愛街803號","辛忠衡","2689386990","1101229"
"66","04227795","順馨電業股份有限公司","新北市三重區光復路2段102巷48號","李達凱","2000000","1101215"
"67","04238625","萬通股份有限公司","臺北市中正區忠孝東路2段23號3樓","周登正","3000000","1101220"
"68","04241092","凰殿大飯店股份有限公司","臺北市萬華區漢中街36號","吳陸桂枝","16000000","1101230"
"69","04243330","西門大飯店有限公司","臺北市萬華區中華路1段78號2樓、3樓、4樓、5樓、6樓","楊孟昌","15000000","1101209"
"70","04251767","志開科技股份有限公司","新北市中和區建八路2號6樓之6","邢舜","200000000","1101201"
"71","04265235","萬達工程顧問股份有限公司","臺北市中正區館前路65號10樓之3","董速","5000000","1101203"
"72","04279982","欣泰安科技股份有限公司","臺北市南港區忠孝東路5段815號5樓之2","張維軒","21000000","1101229"
"73","04280329","重晃電機股份有限公司","新北市五股區成泰路3段30號","蔡人傑","10000000","1101214"
"74","04281018","全豐特殊印刷有限公司","新北市三重區長壽西街214號1樓","賴順祥","5000000","1101209"
"75","04282001","今一彩色印刷股份有限公司","新北市新店區中正路501號之16","袁菜華","27600000","1101222"
"76","04288238","新東手套廠股份有限公司","臺北市大同區伊寧街9巷21號1樓","張文賢","29000000","1101201"
"77","04291917","慶嘉股份有限公司","臺北市大同區民族西路150號1樓","郭慶文","70000000","1101210"
"78","04302219","國興機電股份有限公司","臺北市大同區重慶北路3段230號","陳梅堂","186000000","1101216"
"79","04327231","明豐科技股份有限公司","臺北市萬華區康定路20號10樓之8","丁啓和","10000000","1101201"
"80","04348453","七銘企業股份有限公司","臺北市內湖區新明路333巷14弄4號1樓","何語","53250000","1101216"
"81","04349538","美泰印刷企業股份有限公司","臺北市大同區迪化街1段345號1樓","張慧蘭","2000000","1101208"
"82","04351554","燦興開發股份有限公司","臺北市大同區南京西路30號6樓之3","潘杞官","16000000","1101213"
"83","04362617","日南工程股份有限公司","南投縣南投市三和里公園南街45號1樓","蕭閔鴻","54200000","1101222"
"84","04363762","哈佛企業管理顧問股份有限公司","臺北市中山區樂群二路267號3樓之3","洪良浩","35000000","1101208"
"85","04370927","金寶電子工業股份有限公司","臺北市松山區南京東路5段99號10樓","許勝雄","14704392110","1101213"
"86","04376133","和慶針織廠股份有限公司","新北市泰山區壽山路100號","廖鴻祥","56000000","1101208"
"87","04377983","台灣海州股份有限公司","臺北市中山區復興北路366號5樓","孫榮斌","21000000","1101208"
"88","04380538","威爾森通運股份有限公司","臺北市中山區建國北路1段96號6樓","王文賢(Steve Wang)","14000000","1101208"
"89","04390331","百業開發股份有限公司","桃園市桃園區新埔里經國路391號6樓","江勝男","5000000","1101227"
"90","04396341","建揚實業股份有限公司","臺北市大安區安和路1段27號7樓","陳清忠","9000000","1101222"
"91","04397622","欣亞運輸倉儲貨櫃修造股份有限公司","新北市汐止區大同路3段178號2樓","紀春錦","30000000","1101215"
"92","04400295","擎天通運股份有限公司","臺北市大安區復興南路1段135巷15號3樓之3","蔡其康","21000000","1101203"
"93","04403363","大華金屬工業股份有限公司","臺北市中山區松江路293之805號","姜明理","3050000000","1101201"
"94","04403672","海立電氣股份有限公司","新北市中和區中山路2段359巷5號5樓","徐光輝","40000000","1101223"
"95","04405165","明立電子工業股份有限公司","新竹市水源里千甲路98號","張文雄","9000000","1101208"
"96","04405502","兆林企業有限公司","臺北市中山區松江路562號5樓","林兆祥","1000000","1101227"
"97","04421670","喬文實業股份有限公司","臺北市中山區民權東路1段42號5樓","呂平宇","16000000","1101210"
"98","04422973","清隆企業股份有限公司","臺北市中山區中山北路2段112號11樓","鄭祺耀","60000000","1101216"
"99","04438551","祥任行股份有限公司","臺北市松山區民生東路3段107巷2號3樓","顧佩珍","17000000","1101206"
"100","04454828","鐘峯企業有限公司","臺北市大同區承德路2段53巷5號","吳一玄","1000000","1101209"
"101","04458253","星記鋼鐵股份有限公司","臺北市中山區吉林路24號5樓G室","羅貴欣","20000000","1101228"
"102","04461573","協民隆有限公司","臺北市大安區復興南路2段381號12樓之2","葉淑容","29180000","1101223"
"103","04468111","富士濾器製造股份有限公司","臺北市大同區太原路133巷26號2樓","陳鶯玉","12000000","1101208"
"104","04469293","王冠交通器材企業有限公司","臺北市大同區華陰街99號","王振宇","5000000","1101207"
"105","04469821","佳美嬰兒用品股份有限公司","臺北市大安區敦化南路2段98號22樓","俞洪雪月","60000000","1101213"
"106","04477239","瑩順貿易行股份有限公司","臺北市大同區承德路3段34號2樓","黃景徽","12000000","1101213"
"107","04481819","山民企業有限公司","臺北市內湖區內湖路1段737巷53號2樓","郭禮梓","3600000","1101217"
"108","04496046","巨騰工業股份有限公司","桃園市中壢區過嶺里福嶺路239號","詹素貞","16000000","1101220"
"109","04497312","一心堂股份有限公司","臺北市萬華區廣州街206號2樓","羅家蓁","5000000","1101210"
"110","04503362","奇威行有限公司","臺北市大同區太原路11之3號1樓","何博文","300000000","1101213"
"111","04525020","巨航企業有限公司","新北市永和區保生路2號12樓之1","陳百川","6000000","1101201"
"112","04527081","翊光交通事業有限公司","臺北市大安區羅斯福路2段41號3樓之2","吳恩存","6000000","1101208"
"113","04534604","貴婦煤氣有限公司","臺北市萬華區武成街61號","周秀華","1000000","1101227"
"114","04550147","臺北農產運銷股份有限公司","臺北市中山區民族東路336號","黃向羣","189792000","1101217"
"115","04562235","一加一工業股份有限公司","桃園市蘆竹區錦興里錦華路69號","王英傑","61000000","1101224"
"116","04570690","安振企業股份有限公司","臺北市萬華區康定路60號8樓之5","黃楊茹云","7000000","1101209"
"117","04575386","浩光企業股份有限公司","高雄市湖內區中正路2段522巷20之1號","蘇明宏","38000000","1101223"
"118","04584441","璐室制作空間設計有限公司","臺北市中正區金門街1之8號","張瑜倢","1000000","1101202"
"119","04595496","勇翔企業股份有限公司","臺北市萬華區寶興街80巷49號1樓","陳輝湧","12500000","1101206"
"120","04616859","信達電工股份有限公司","臺北市中正區南昌路2段142號1樓","顏春","450000","1101210"
"121","04622803","生計食品有限公司","臺北市大安區羅斯福路3段15號1樓","陳樹基","9000000","1101229"
"122","04652073","逸揚企業有限公司","臺北市中正區延平南路230巷19號","林德仁","10000000","1101202"
"123","04655091","雄獅旅行社股份有限公司","臺北市內湖區石潭路151號9樓","王文傑","747225560","1101202"
"124","04669433","金品實業有限公司","臺北市士林區中山北路7段124巷2號1樓","黃正宏","25000000","1101230"
"125","04674554","永裕交通有限公司","臺北市中山區新生北路2段131之3號","廖長","3000000","1101202"
"126","04677686","亞來股份有限公司","臺北市中山區松江路206號14樓之5","劉春木","20000000","1101210"
"127","04695235","台灣國際造船股份有限公司","高雄市小港區中鋼路3號","鄭文隆","9317872960","1101215"
"128","04699540","新年代實業股份有限公司","新北市林口區工二工業區工七路2號","謝凱峰","15000000","1101221"
"129","04702524","南東有限公司","臺北市松山區南京東路4段75號6樓之1","楊桂","10000000","1101220"
"130","04723653","亞新工程顧問股份有限公司","新北市汐止區新台五路1段112號22樓","莫仁維","202890000","1101229"
"131","04738369","翠德實業股份有限公司","臺北市中山區長安東路2段80號10樓","顏錫文","30000000","1101230"
"132","04747058","帆信企業有限公司","臺北市信義區信義路4段375號4樓之5","呂金臻","8000000","1101201"
"133","04757631","和騰國際有限公司","臺北市內湖區內湖路1段360巷19號4樓","謝張慧","5500000","1101202"
"134","04768166","優吉交通股份有限公司","臺北市北投區公舘路213號1樓","華冠富","3000000","1101222"
"135","04768715","勝申機械有限公司","新北市汐止區環河街157號","王三華","30000000","1101206"
"136","04791770","周家股份有限公司","臺北市信義區基隆路1段149號12樓","周金城","45000000","1101229"
"137","04793138","百昌堂蔘藥有限公司","臺北市士林區至誠路2段99號","邱建森","3000000","1101215"
"138","04799169","本源興股份有限公司","臺北市大安區忠孝東路4段278號5樓","廖本源","115000000","1101201"
"139","04810621","俞芳木業有限公司","臺北市南港區成福路157號1樓","丁志仁","1000000","1101223"
"140","04811591","力鷹興業有限公司","臺北市內湖區成功路2段312巷32號1樓","曹李墻","2000000","1101223"
"141","04812753","三橋科技股份有限公司","桃園市桃園區大林里興華路2號4樓","侯麗楨","50000000","1101208"
"142","04872169","運詳機車有限公司","臺北市文山區久康街1號","洪清松","7000000","1101206"
"143","04887515","聖欣石材有限公司","臺中市太平區中平九街156號1樓","張烱宏","7000000","1101222"
"144","04894425","高明實業有限公司","新北市新店區安興路69號1樓","高銘忠","5000000","1101203"
"145","04902240","竹一電子企業有限公司","新北市新店區中興路2段190號9樓之1","陳裕松","28000000","1101208"
"146","04908201","基業生物科技股份有限公司","臺北市內湖區行忠路60號7樓之1","劉素瓊","22000000","1101206"
"147","04941757","旭怡實業股份有限公司","臺北市大安區信義路3段147巷5弄3之4號5樓","鄭玉芬","150000000","1101222"
"148","04960579","錦貿興業股份有限公司","臺北市大安區復興南路2段381號2樓","王鵲翔","10000000","1101201"
"149","04973271","衡美室內裝修企業股份有限公司","臺北市松山區復興北路99號4樓之6","洪嘉平","200000000","1101208"
"150","04989013","華泰窯業股份有限公司","新北市鶯歌區東湖路14之1號","林良男","63000000","1101201"
"151","05003744","永程交通有限公司","臺北市中正區西藏路83號1樓","薛雅珍","5000000","1101213"
"152","05008608","幸賀股份有限公司","新北市汐止區新台五路1段81號14樓之7","王源祥","159390000","1101207"
"153","05013258","金格食品股份有限公司","臺北市中正區中華路2段41號1樓","吳如英","239000000","1101229"
"154","05014171","東育有限公司","臺北市中山區松江路108巷27號1樓","吳東昇","5000000","1101207"
"155","05024585","聯運股份有限公司","臺北市中正區羅斯福路3段230號1樓","邱顯川","102000000","1101202"
"156","05025825","地樺營造事業股份有限公司","臺北市大同區承德路2段81號4樓之1","趙素堅","300000000","1101202"
"157","05027915","景華生技股份有限公司","新北市新店區北新路3段221號15樓","林坤璁","13000000","1101221"
"158","05057522","晉翔企業有限公司","新北市中和區連城路267號5樓之4","詹量鈞","5000000","1101206"
"159","05072306","台灣敏腦股份有限公司","新北市板橋區文化路1段268號12樓之1","陳俐伶","18000000","1101223"
"160","05077301","超群三溫暖工程有限公司","新北市新莊區頭前路15巷12號","陳汶錠","35000000","1101215"
"161","05081369","香港商勞力士中心有限公司","臺北市大安區敦化南路二段105號、105號2、3、4樓、107號2樓","林人和","9219368","1101216"
"162","05085196","百星投資股份有限公司","臺北市大安區仁愛路4段296號24樓","葉登科","977807000","1101224"
"163","05114306","擎邦國際科技工程股份有限公司","臺北市內湖區瑞光路210號5樓","洪振攀","707909610","1101210"
"164","05132331","連祥實業有限公司","臺北市南港區南港路3段50巷6號2樓","呂淵霖","20000000","1101216"
"165","05133155","樺辰室內裝修股份有限公司","新北市汐止區新台五路1段183號15樓","吳政綱","10000000","1101215"
"166","05143647","勤誠興業股份有限公司","新北市新莊區中原路558號18樓","陳美琪","1207884500","1101201"
"167","05144553","華杏出版股份有限公司","臺北市內湖區瑞光路302號5樓之2","郭麗群","28000000","1101210"
"168","05145482","謀定製衣有限公司","臺北市中正區延平南路61號6樓之6","","5000000","1101207"
"169","05148404","雷富實業有限公司","新北市淡水區民權路193號26樓之8","文力平","10000000","1101217"
"170","05197544","世在交通有限公司","新北市新莊區五工一路96號2樓","洪世在","12000000","1101202"
"171","05251309","伊峰貿易有限公司","臺北市內湖區港華街85巷33號1樓","張金傳","10000000","1101224"
"172","05256212","中華生醫科技股份有限公司","臺北市中山區長安東路2段31號5樓","陳豐祥","97200000","1101214"
"173","05385905","建堡營造有限公司","臺中市北區賴村里梅亭街460號","陳秀霞","93300000","1101222"
"174","05406319","永湖企業有限公司","新北市三重區中正北路560巷41號","謝宗熙","21000000","1101220"
"175","05406330","十國企業有限公司","新北市五股區四維路118巷7弄4號","李爾任","10000000","1101217"
"176","05406900","楠興交通有限公司","臺北市內湖區康寧路3段189巷12弄17號5樓","高橋和","10000000","1101203"
"177","05412874","喬章實業股份有限公司","新北市汐止區大同路2段159號1樓","林祐慶","15000000","1101214"
"178","05413141","合程實業股份有限公司","臺北市南港區南港路3段130巷3弄18號1樓","陳銘國","6000000","1101203"
"179","05413212","松助企業有限公司","新北市樹林區學勤路679號10樓","林瑪琍","2000000","1101202"
"180","05413260","益頂工程有限公司","新北市汐止區福德一路475號(1樓)","李宗義","3000000","1101213"
"181","05415416","王視器材有限公司","臺北市內湖區成功路4段30巷9號8樓","","10000000","1101221"
"182","05427264","凌克企業股份有限公司","臺北市內湖區江南街21巷4號5樓","林正池","5000000","1101214"
"183","05698174","味榮食品工業股份有限公司","臺中市豐原區三村里西勢路701號","許宗琳","29500000","1101210"
"184","05715119","昭通貿易股份有限公司","臺北市中正區開封街1段105號8樓之2","張崇裕","20000000","1101213"
"185","05716270","儷萊旅館股份有限公司","臺北市中正區中華路1段21號8之11樓","楊孟欣","25000000","1101209"
"186","05719537","匯順倉儲股份有限公司","臺北市松山區南京東路4段186號6樓之3","王清司","10000000","1101201"
"187","05751114","藝昌實業股份有限公司","臺中市豐原區南田里水源路389之5號","張喜盛","15000000","1101228"
"188","05811605","旺鑫橡膠有限公司","臺中市梧棲區永安里向上路九段381巷8號","謝明裕","29100000","1101221"
"189","05838816","至光工具股份有限公司","臺中市大里區西湖里景庄街180巷20號","謝慶豐","35000000","1101221"
"190","05839483","金岱交通股份有限公司","臺中市清水區國姓里臨港路七段398號","顧祥維","20000000","1101215"
"191","05911724","元宙股份有限公司","彰化縣鹿港鎮頂厝里鹿和路1段501巷101-1號","施香君","30000000","1101201"
"192","05942352","晟昶工業有限公司","彰化縣秀水鄉鶴鳴村馬鳴路10號","許萬成","20000000","1101216"
"193","06236334","明洋紙器股份有限公司","嘉義縣水上鄉柳鄉村柳子林199之15號","黃輝龍","27500000","1101216"
"194","06386543","東豐交通工業股份有限公司","臺南市新市區興業路1號","吳三仁","55000000","1101209"
"195","06669893","聯丞室內裝修有限公司","高雄市新興區南台路9巷2號1樓","吳美虹","13350000","1101220"
"196","06725115","禾茂玩具工業股份有限公司","高雄市大寮區大寮里華東路80號","許健生","13000000","1101207"
"197","07015204","大同茶業股份有限公司","新北市土城區自強街22號","林憲騰","25000000","1101209"
"198","07140104","光和貿易股份有限公司","臺北市中山區南京東路3段219號6樓","陳弘","445500000","1101215"
"199","07143361","賀上投資股份有限公司","新北市三重區重新路2段42之7號3樓","蔡桂","10300000","1101229"
"200","07155324","好福合纖股份有限公司","臺北市大同區南京西路205號3樓","賴宏岳","50000000","1101222"
"201","07155339","有萬科技股份有限公司","臺北市南港區三重路19之2號9樓","高東海","581400000","1101229"
"202","07187326","東大一工業有限公司","新北市樹林區俊英街111巷10之8號2樓","紀炎奮","5000000","1101223"
"203","07231006","亞細亞貿易股份有限公司","臺中市西屯區協和里工業區32路72號1樓","王貞貞","20000000","1101221"
"204","07298408","建華貿易有限公司","新北市三重區龍濱路130之2號","周惠玲","5000000","1101221"
"205","07303107","協新紡織廠股份有限公司","臺北市中山區南京東路2段36號38號9樓","王顯宗","73000000","1101210"
"206","07343522","國良油漆工程有限公司","新北市汐止區新台五路1段169號20樓","游淑蘋","9200000","1101224"
"207","07510318","華友聯開發股份有限公司","高雄市鳳山區文龍路85號11樓","陸炤廷","957180320","1101208"
"208","07525207","台灣農林股份有限公司","臺北市南港區園區街3號15樓","吳清源","7900000000","1101203"
"209","07578914","聚力塑膠工業股份有限公司","臺北市大同區重慶北路3段181號3樓","蔡兆順","50000000","1101228"
"210","07607404","武菱企業股份有限公司","新北市中和區連城路222巷19號(4樓)","洪雅萍","5000000","1101206"
"211","07608348","泰彰五金工業有限公司","臺北市中山區中山北路2段112號3樓之4","楊仁和","6000000","1101206"
"212","07612547","寶啟實業股份有限公司","臺北市大同區貴德街6之1號1樓","王明陽","4800000","1101202"
"213","07617732","鑫林企業有限公司","臺中市北區育德路98號4樓之2","鄭錦武","5000000","1101227"
"214","07618129","棉樹實業股份有限公司","桃園市龜山區大坑里南上路407號","吳家豪","160000000","1101208"
"215","07623501","錦榮電工股份有限公司","桃園市中壢區內定里合定路29號","葉密","20000000","1101224"
"216","07624852","造形服飾有限公司","高雄市鹽埕區五福四路146之1號","林建華","10000000","1101222"
"217","07641536","興旺交通有限公司","桃園市龍潭區龍平路632巷28弄29號","繆麗美","29000000","1101210"
"218","07656431","依德股份有限公司","新北市中和區建一路68號","簡金鎔","180000000","1101208"
"219","07656571","合興電線電纜股份有限公司","新北市三峽區介壽路3段124號","陳茂吉","123500000","1101206"
"220","07666249","漢珍數位圖書股份有限公司","臺北市信義區和平東路3段315號7樓","朱小瑄","60000000","1101222"
"221","07668372","世凰照明企業有限公司","新北市三重區自強路4段31巷14號","葉清田","5000000","1101221"
"222","07671587","鶯達企業股份有限公司","新北市中和區立德街311號(1樓)","林陳村","10000000","1101208"
"223","07671926","天又企業有限公司","宜蘭縣礁溪鄉德陽路176-7號4樓","楊詠裕","12000000","1101208"
"224","07678060","東潛實業股份有限公司","臺北市松山區塔悠路319號","王朝正","5000000","1101229"
"225","07683970","擎貿企業有限公司","臺北市士林區承德路4段288號12樓","黃泰華","5000000","1101210"
"226","07686809","韓頓工業股份有限公司","屏東縣內埔鄉豐田村建富路12號","陳永珍","9200000","1101228"
"227","07727127","聯邦自販有限公司","桃園市龜山區大華里興華五街８號","陳佑任","5000000","1101210"
"228","07733887","一成亮記實業有限公司","臺北市大同區延平北路2段60巷20號","林麗英","6000000","1101203"
"229","07926511","久陽精密股份有限公司","高雄市橋頭區西林里芋林路299號","孫正強","885218010","1101216"
"230","07932366","瑞晉興業股份有限公司","高雄市岡山區岡山北路20號","蔡承璋","90000000","1101222"
"231","07932990","慶益工業股份有限公司","高雄市路竹區復興路1之8號1樓","蘇慶村","12000000","1101206"
"232","07933533","集偉工業股份有限公司","高雄市路竹區復興路300號","蘇李麗華","20000000","1101222"
"233","08121837","花蓮縣農產運銷股份有限公司","花蓮縣鳳林鎮林榮里林榮路338號","顏新章","3000000","1101221"
"234","09405299","九合工程股份有限公司","新北市泰山區明志路3段517號4樓","王贊傑","120000000","1101213"
"235","09426169","榮美租賃股份有限公司","新北市永和區成功路2段47巷3號2樓","","40000000","1101224"
"236","09427322","碩勇股份有限公司","臺北市大同區哈密街143號","鄭樹恩","50000000","1101222"
"237","09448369","上禾音響有限公司","臺北市中山區吉林路24號10樓之6","何季幸","3000000","1101227"
"238","09459870","辰留企業股份有限公司","臺北市內湖區瑞光路513巷22弄5號7樓","陳姜宗怡","28000000","1101228"
"239","09466892","韋克有限公司","臺北市大安區大安路1段191號3樓","楊其昌","19400000","1101215"
"240","09470571","豐瓏貿易有限公司","臺北市大安區金山南路2段148號8樓之1","廖祉安","5000000","1101208"
"241","09471430","家家產品股份有限公司","苗栗縣銅鑼鄉銅鑼村23鄰民享路5號","何兆焜","30000000","1101207"
"242","09479186","富聖開發股份有限公司","臺北市大安區敦化南路2段77號7樓之1","周妤馨","233350000","1101202"
"243","11005431","力華貿易股份有限公司","臺北市大安區仁愛路4段29之2號2樓","董陽閎","9000000","1101222"
"244","11013946","中華台亞股份有限公司","桃園市八德區白鷺里廣福路822號","陳昭文","50000000","1101210"
"245","11026506","大同股份有限公司","臺北市中山區集英里21鄰中山北路3段22號","盧明光","23395366850","1101207"
"246","11043006","大信農化工廠股份有限公司","臺北市大安區敦化南路1段236巷31號7樓","張英琪","29000000","1101224"
"247","11052709","三商投資控股股份有限公司","臺北市中山區建國北路2段145號地下1樓及1~18樓","陳翔立","9131067480","1101202"
"248","11099303","南山產物保險股份有限公司","臺北市中正區黎明里忠孝西路1段6號15、17、18及19樓","蔡漢凌","2000000000","1101223"
"249","11139109","仕騰汽車貨運股份有限公司","彰化縣伸港鄉新港村中正路80號1樓","柯錦雲","10000000","1101209"
"250","11145904","中華航空股份有限公司","桃園市大園區埔心里16鄰航站南路1號","謝世謙","57404843680","1101208"
"251","11252349","汎達股份有限公司","臺北市內湖區陽光街351號3樓","周雅夫","25000000","1101228"
"252","11323111","明伸企業有限公司","臺北市中正區中山北路1段2號之3樓之5","李孟宗","10000000","1101202"
"253","11326855","明東實業股份有限公司","臺北市中正區銅山街13號2樓","蔡明忠","13158987400","1101221"
"254","11330555","格威傳媒股份有限公司","臺北市大安區忠孝東路4段285號3樓","鄭儼驥","1565428100","1101221"
"255","11336241","明曙企業股份有限公司","臺北市中山區長安東路1段36號10樓","黃嚴鋒","56000000","1101223"
"256","11337775","長榮海運股份有限公司","臺北市中山區民生東路2段166號1至4樓","張衍義","52908484360","1101201"
"257","11358764","金界旅行社股份有限公司","臺北市大安區忠孝東路4段142號11樓之7","張李正琴","8000000","1101213"
"258","11364230","欣欣大眾巿場股份有限公司","臺北市中山區林森北路247號及新生北路2段28巷1號地下1號、1之1號、1號2樓","尤志煌","730432830","1101208"
